currentSamp,prevSamp,output
0.3870068172,0.3870068172,0.3804931641
0.3870068172,0.3870068172,0.3798217773
0.3870068172,0.3870068172,0.3791809082
0.3870068172,0.3870068172,0.3785095215
0.3870068172,0.3870068172,0.3778381348
0.3870068172,0.3870068172,0.3771972656
0.3870068172,0.3870068172,0.3765258789
0.3870068172,0.3870068172,0.3758850098
0.3870068172,0.3870068172,0.3752441406
0.3628598381,0.3870068172,0.3745117188
0.3326293177,0.3628598381,0.3722839355
0.3077803914,0.3326293177,0.3616638184
0.2799832875,0.3077803914,0.3334655762
0.2555555295,0.2799832875,0.2987365723
0.2299110633,0.2555555295,0.2752075195
0.2061384559,0.2299110633,0.249420166
0.1823658485,0.2061384559,0.220916748
0.1599971352,0.1823658485,0.199005127
0.1380495902,0.1599971352,0.1725158691
0.1172251605,0.1380495902,0.1502075195
0.09714947432,0.1172251605,0.1277770996
0.07800971757,0.09714947432,0.10546875
0.05994627967,0.07800971757,0.08590698242
0.04258478884,0.05994627967,0.06500244141
0.0262060239,0.04258478884,0.04745483398
0.01095037427,0.0262060239,0.02865600586
-0.003650124758,0.01095037427,0.01257324219
-0.01694032259,-0.003650124758,-0.004058837891
-0.02957536983,-0.01694032259,-0.0185546875
-0.04127448764,-0.02957536983,-0.03271484375
-0.05213126897,-0.04127448764,-0.04571533203
-0.06205212088,-0.05213126897,-0.0576171875
-0.07131782219,-0.06205212088,-0.06912231445
-0.07955400113,-0.07131782219,-0.07916259766
-0.08694784358,-0.07955400113,-0.08880615234
-0.09363973897,-0.08694784358,-0.09729003906
-0.09934890847,-0.09363973897,-0.1051330566
-0.1044497238,-0.09934890847,-0.1117858887
-0.1088485921,-0.1044497238,-0.1180419922
-0.112311531,-0.1088485921,-0.1231079102
-0.1152129122,-0.112311531,-0.1276855469
-0.1174591428,-0.1152129122,-0.1313781738
-0.1191906123,-0.1174591428,-0.1344299316
-0.1201733382,-0.1191906123,-0.1366271973
-0.1206413029,-0.1201733382,-0.1384887695
-0.1207816923,-0.1206413029,-0.1394958496
-0.120454117,-0.1207816923,-0.1401062012
-0.1196117805,-0.120454117,-0.1399841309
-0.1186290546,-0.1196117805,-0.1397399902
-0.1170847711,-0.1186290546,-0.1389465332
-0.1152129122,-0.1170847711,-0.1376953125
-0.1133410534,-0.1152129122,-0.1362304688
-0.1110948227,-0.1133410534,-0.1343383789
-0.1084742204,-0.1110948227,-0.1320800781
-0.1059472109,-0.1084742204,-0.1298522949
-0.1030458297,-0.1059472109,-0.1272583008
-0.09986366965,-0.1030458297,-0.1242980957
-0.09686869549,-0.09986366965,-0.1213989258
-0.0935929425,-0.09686869549,-0.1182556152
-0.09027039304,-0.0935929425,-0.1147766113
-0.08680745417,-0.09027039304,-0.1114807129
-0.08325092236,-0.08680745417,-0.1080322266
-0.08002196584,-0.08325092236,-0.1043395996
-0.07641863755,-0.08002196584,-0.1007080078
-0.07286210574,-0.07641863755,-0.09704589844
-0.06935237039,-0.07286210574,-0.0934753418
-0.06556185622,-0.06935237039,-0.08981323242
-0.06205212088,-0.06556185622,-0.08590698242
-0.05826160671,-0.06205212088,-0.08227539063
-0.05442429606,-0.05826160671,-0.07836914063
-0.05044659601,-0.05442429606,-0.0744934082
-0.04637530301,-0.05044659601,-0.07070922852
-0.04239760295,-0.04637530301,-0.06646728516
-0.03799873466,-0.04239760295,-0.06240844727
-0.03388064519,-0.03799873466,-0.05819702148
-0.02934138747,-0.03388064519,-0.05386352539
-0.02466174035,-0.02934138747,-0.0495300293
-0.02021607558,-0.02466174035,-0.04495239258
-0.01520885316,-0.02021607558,-0.04040527344
-0.0102484272,-0.01520885316,-0.03552246094
-0.005521983608,-0.0102484272,-0.03076171875
-0.0007019470688,-0.005521983608,-0.02581787109
0.004258478884,-0.0007019470688,-0.02062988281
0.00898492248,0.004258478884,-0.01602172852
0.01375816255,0.00898492248,-0.01104736328
0.01829742026,0.01375816255,-0.006042480469
0.0227898815,0.01829742026,-0.001342773438
0.0271887498,0.0227898815,0.003387451172
0.03107285691,0.0271887498,0.007904052734
0.03491016755,0.03107285691,0.01229858398
0.03823271701,0.03491016755,0.01647949219
0.04136808059,0.03823271701,0.02032470703
